NO,Y2019-1,Y2019-2,Y2018-1,Y2018-2,Y2018-3,Y2017-1,Y2017-2,Y2017-3,Y2016-1,Y2016-2,Y2016-3,Y2015-1,Y2015-2,Y2015-3,Y2014-1,Y2014-2,Y2014-3,Y2013-1,Y2013-2,Y2013-3,Y2012-1,Y2012-2,Y2012-3,Y2011-1,Y2011-2,Y2011-3,Y2010-1,Y2010-2,Y2010-3
18,tt6857112,tt8291806,tt1517451,tt6268812,tt7769530,tt3731562,tt5119116,tt6217648,tt3416828,tt4129802,tt5271442,tt2848292,tt3474978,tt4400058,tt1291150,tt2706570,tt3511542,tt1670345,tt2241047,tt2784054,tt1482459,tt1954464,tt2330866,tt0983193,tt1688644,tt2004279,tt1403865,tt1468381,tt1756679
19,tt0437086,tt8296660,tt5848272,tt6268882,tt7770192,tt0974015,tt5120010,tt6217672,tt4196776,tt4129870,tt5271772,tt4046784,tt3475020,tt4400174,tt2802144,tt2707848,tt3514116,tt1951261,tt2241116,tt2785162,tt0837562,tt1954470,tt2330927,tt0458339,tt1688649,tt2005299,tt0970866,tt1468387,tt1756773
20,tt6823368,tt8302982,tt5814060,tt6269368,tt7772412,tt1485796,tt5121816,tt6217706,tt3065204,tt4131240,tt5271906,tt2279373,tt3475596,tt4400360,tt1790864,tt2707858,tt3514330,tt1343092,tt2241376,tt2786278,tt1446714,tt1954688,tt2331167,tt1650062,tt1690368,tt2005363,tt1320253,tt1468703,tt1757671
21,tt6660238,tt8304386,tt4701182,tt6269434,tt7772580,tt3450958,tt5125414,tt6217748,tt1985949,tt4131594,tt5274066,tt2224026,tt3476464,tt4401704,tt2267998,tt2708306,tt3515284,tt1583421,tt2241403,tt2786780,tt1397514,tt1954701,tt2331880,tt1778304,tt1690518,tt2006109,tt1001526,tt1468721,tt1757772
22,tt3741700,tt8305806,tt6644200,tt6270596,tt7773210,tt4465564,tt5126178,tt6218440,tt0803096,tt4135076,tt5275314,tt1392190,tt3477214,tt4401884,tt2582846,tt2712990,tt3516158,tt2017020,tt2241605,tt2787096,tt1735898,tt1954811,tt2332514,tt1284575,tt1690542,tt2006174,tt1375670,tt1468829,tt1757796
23,tt8350360,tt8311958,tt6911608,tt6271806,tt7773436,tt4649466,tt5126274,tt6218794,tt2592614,tt4136534,tt5277952,tt4276752,tt3477752,tt4404474,tt2294449,tt2713642,tt3516160,tt1723121,tt2241691,tt2792332,tt1045658,tt1954843,tt2332518,tt1270798,tt1691154,tt2006781,tt1261945,tt1468840,tt1757940
24,tt3861390,tt8318348,tt4477536,tt6275262,tt7775886,tt3402236,tt5126922,tt6218996,tt4972582,tt4144190,tt5278214,tt1528854,tt3478186,tt4409852,tt2446042,tt2714380,tt3516378,tt1663662,tt2243389,tt2793930,tt1764651,tt1955031,tt2332563,tt1454029,tt1691449,tt2007387,tt1285016,tt1470024,tt1760414
25,tt8239806,tt8323104,tt2231461,tt6277824,tt7776430,tt5140878,tt5136686,tt6220406,tt3110958,tt4145108,tt5278634,tt2908446,tt3478232,tt4410770,tt2004420,tt2714410,tt3517192,tt2013293,tt2244901,tt2794596,tt0443272,tt1956657,tt2332629,tt0433035,tt1691453,tt2007413,tt0944835,tt1470172,tt1760984
26,tt6398184,tt8323120,tt5117670,tt6280368,tt7776838,tt2543472,tt5137242,tt6221000,tt1628841,tt4146622,tt5278836,tt4818250,tt3478962,tt4411504,tt3322940,tt2714934,tt3520564,tt1606378,tt2245188,tt2794660,tt1024648,tt1956697,tt2332831,tt1499658,tt1691920,tt2007421,tt1243957,tt1470859,tt1762364
27,tt2066051,tt8325442,tt6966692,tt6280608,tt7776936,tt2345759,tt5143226,tt6223806,tt1679335,tt4153330,tt5279042,tt1398426,tt3479316,tt4412362,tt1911658,tt2716194,tt3521148,tt1800241,tt2245277,tt2795414,tt1605630,tt1957867,tt2332857,tt0377981,tt1692084,tt2008006,tt1536044,tt1470860,tt1763270
28,tt5886046,tt8326824,tt4633694,tt6283474,tt7779590,tt1293847,tt5145414,tt6224580,tt4846340,tt4154004,tt5280652,tt3079380,tt3480446,tt4413338,tt2692250,tt2716802,tt3521192,tt1985966,tt2245279,tt2795848,tt1855325,tt1957898,tt2332865,tt1033575,tt1692098,tt2008523,tt0938283,tt1470910,tt1764141
29,tt2283336,tt8328716,tt1502407,tt6284256,tt7780808,tt5052448,tt5152606,tt6224676,tt1355644,tt4156972,tt5280984,tt2361509,tt3480886,tt4415016,tt1959490,tt2717318,tt3521332,tt1691917,tt2245884,tt2796318,tt1606389,tt1958053,tt2332881,tt1253864,tt1692214,tt2008647,tt0817230,tt1471247,tt1764329
30,tt8079248,tt8329148,tt5164214,tt6284564,tt7784788,tt4116284,tt5153236,tt6225520,tt2674426,tt4158096,tt5281018,tt2120120,tt3481000,tt4415068,tt1253863,tt2717528,tt3521442,tt2404463,tt2245888,tt2796688,tt1446192,tt1959332,tt2333238,tt1568346,tt1692227,tt2009643,tt1231583,tt1472195,tt1764466
31,tt5503686,tt8332666,tt4500922,tt6286662,tt7786264,tt3606752,tt5153952,tt6226610,tt1935859,tt4158876,tt5281134,tt2719848,tt3482062,tt4415326,tt2084970,tt2717860,tt3522738,tt1428538,tt2245906,tt2796944,tt1915581,tt1959346,tt2333408,tt1217613,tt1692235,tt2010914,tt1013743,tt1473074,tt1764615
32,tt1620981,tt8333978,tt5028340,tt6288124,tt7790898,tt3890160,tt5155486,tt6227148,tt2034800,tt4159698,tt5282006,tt2637276,tt3483612,tt4415900,tt1109624,tt2718314,tt3523480,tt1535108,tt2246520,tt2797106,tt1232829,tt1959438,tt2333598,tt1564367,tt1692479,tt2011076,tt0879870,tt1473121,tt1764691
33,tt4913966,tt8334236,tt3104988,tt6290418,tt7791188,tt4217392,tt5155780,tt6227164,tt3263904,tt4160706,tt5285908,tt2452042,tt3484796,tt4416518,tt1840309,tt2718442,tt3524290,tt0848537,tt2246724,tt2797242,tt0790724,tt1961192,tt2334034,tt1219289,tt1692503,tt2011138,tt1245526,tt1473142,tt1770650
34,tt6189022,tt8342680,tt1365519,tt6290798,tt7794040,tt4468740,tt5156274,tt6227192,tt1473832,tt4161396,tt5286250,tt2974918,tt3486542,tt4417502,tt1631867,tt2720680,tt3524410,tt2024544,tt2246831,tt2797642,tt1649419,tt1961386,tt2334549,tt1605783,tt1693110,tt2011183,tt0473075,tt1473352,tt1772332
35,tt6324278,tt8343886,tt5758778,tt6292090,tt7794052,tt3411444,tt5156532,tt6227846,tt0918940,tt4161564,tt5287168,tt3076658,tt3487994,tt4417522,tt2024469,tt2721152,tt3524530,tt2191701,tt2247432,tt2798068,tt1646987,tt1961675,tt2334715,tt1637688,tt1693746,tt2011971,tt0814255,tt1473357,tt1772339
36,tt3513498,tt8351452,tt6343314,tt6297258,tt7794524,tt1753383,tt5157052,tt6228640,tt1489889,tt4168286,tt5287852,tt1979388,tt3488184,tt4418168,tt2180411,tt2723176,tt3525678,tt1483013,tt2248805,tt2798170,tt1194173,tt1964570,tt2334731,tt1396218,tt1693790,tt2012576,tt1193631,tt1474255,tt1772416
